username,full_name,followers,post_count,avg_likes,median_likes,max_likes,avg_replies,avg_reposts,posts_per_week,preferred_hour,primary_type,secondary_type,confidence,reasoning,dominant_article_category
an.dore__,純銀飾品｜配件｜選物｜禮品,161,30,19.966666666666665,3.5,151,9.633333333333333,0.3333333333333333,0.47619047619047616,19,電商導購型,創業歷程型,0.85,帳號名稱和簡介顯示販售飾品配件，貼文內容包含商品（jellycat），符合電商導購特徵。部分貼文記錄創業初期Threads的粉絲增長，略帶創業歷程型特徵。,其他
tina07052128,林依,1681,122,19.81967213114754,9.5,139,16.795081967213115,0.2540983606557377,2.44,13,電商導購型,創業歷程型,0.85,主要販售烘焙產品，並有促銷和導購意圖。同時分享了作為安親老師斜槓創業的心路歷程。,生活記錄
angel_tea__wumiao,天使 - 與茶共舞（武廟店）,533,42,18.976190476190474,10.0,126,13.19047619047619,0.6666666666666666,1.225,16,電商導購型,創業歷程型,0.85,主要販售飲料，並有促銷和訂購資訊。同時分享開店心得和創業歷程，但導購意圖更明顯。,其他
cymbidium0329,小蘭的店,1309,76,18.907894736842106,10.0,203,10.921052631578947,0.15789473684210525,1.8095238095238095,10,電商導購型,創業歷程型,0.85,帳號名稱和簡介顯示為網店，販售日系內衣，提供下單和付款方式，但貼文內容也包含創業心路歷程，因此判斷為電商導購型為主，創業歷程型為輔。,成果展示
love.cat_1208,★晶心嶼｜手作療癒水晶 ｜設計款,182,12,17.0,9.5,65,14.416666666666666,1.1666666666666667,2.4,13,創業歷程型,電商導購型,0.85,主要分享創業心路歷程，包含遇到的困難與喜悅，同時也有商品銷售連結，具備電商導購的特徵。,經驗分享
onemore_68,【 One More 玩默遊戲空間】聚會｜玩樂｜聊天｜派對｜休閒娛樂｜慶生｜過節,339,25,16.92,11.0,61,14.56,0.24,6.481481481481481,22,創業歷程型,電商導購型,0.8,主要分享開店創業的心路歷程，包含粉絲成長、活動宣傳等，同時有提供場地預約服務，具有導購性質。,問答互動
sogo_digital,SOGO盧玟成｜破億電商投手、醫美操盤、線上課程廣告顧問,2624,215,16.6046511627907,8.0,211,7.1720930232558135,0.4697674418604651,5.679245283018869,21,專業服務型,知識教學型,0.85,創作者簡介強調電商、醫美、線上課程的操盤經驗，並提供LINE聯繫方式，主要目的是獲取客戶。貼文內容包含廣告案例分享，也包含教學內容，因此知識教學型為次要類型。,觀點評論
linle_0429,林樂 ☾ Mivila蜜唯菈 創辦人,1030,132,16.424242424242426,4.0,378,17.765151515151516,0.1590909090909091,1.1876606683804627,19,創業歷程型,思想觀點型,0.85,創辦人分享創業心聲，鼓勵他人，同時也分享水瓶座相關話題，帶有觀點分享性質。,問答互動
circle.studio__,Circle.studio,82,15,14.466666666666667,5.0,115,4.733333333333333,1.4666666666666666,2.625,12,創業歷程型,電商導購型,0.85,主要內容為創業初期，包含擺攤市集、商品設計等，同時有商品銷售導流的貼文。,其他
catcat0619,心想事宸,2736,193,12.404145077720207,4.0,510,3.316062176165803,0.09326424870466321,4.7403508771929825,0,創業歷程型,混合型,0.85,創作者分享個人成長經歷（單親、北漂、減肥），並積極尋求合作機會，符合創業歷程型特徵。同時，內容也包含生活分享和情感表達，因此也帶有混合型特徵。,觀點評論
elaridoll,𝗘𝗹𝗮𝗿𝗶 𝗗𝗼𝗹𝗹 艾拉娃,31,19,12.210526315789474,1.0,137,5.7894736842105265,0.05263157894736842,3.694444444444444,16,電商導購型,,0.95,專賣娃衣選物，貼文包含商品照、價格、促銷、下單連結，明顯以銷售商品為導向。,生活記錄
thedigitalbloomer,Amanda Huang | 一人公司實踐社區💻,47,27,12.0,6.0,58,3.2222222222222223,0.14814814814814814,5.7272727272727275,23,思想觀點型,創業歷程型,0.85,主要分享個人觀點、經驗與體悟，包含自媒體經營的堅持、順境的徵兆、尊重差異等，同時也記錄了自媒體創業的歷程與心境。,觀點評論
linyah_studio,Linyah 心動飾戒,149,42,11.642857142857142,0.0,361,6.333333333333333,0.09523809523809523,4.2,11,創業歷程型,電商導購型,0.85,主要內容為記錄創業初期，包含訂單數、粉絲數等，並分享創業心得。同時也有商品照片和導購連結，但比重較低。,其他
burri3188,Burri,5298,161,11.577639751552795,6.0,219,0.6832298136645962,0.43478260869565216,10.53271028037383,20,專業服務型,知識教學型,0.85,創作者簡介提及數位廣告、廣告整合策略、AI自動行銷，代表性貼文也多與行銷相關，且包含專業領域的提醒與建議。部分貼文帶有教學意味，因此次要類型為知識教學型。,教學型
sogood.88,💖搜購SG SHOP全館批發價💖,408,75,11.266666666666667,4.0,141,5.32,0.04,4.906542056074766,20,電商導購型,創業歷程型,0.85,帳號名稱、簡介和代表性貼文都顯示以銷售商品為主，同時分享創業相關內容。,問答互動
ni_beautyyard,Ni_beautyyard,287,166,10.41566265060241,4.0,558,3.4096385542168677,0.006024096385542169,1.923841059602649,21,專業服務型,創業歷程型,0.85,提供皮膚諮詢/保養服務，並輔導創業，貼文內容包含客戶體驗、招生等，同時分享創業甘苦談。,其他
bro.sticky.notes,老哥便利貼,79,38,9.789473684210526,3.0,61,0.9473684210526315,0.23684210526315788,0.680306905370844,17,思想觀點型,知識教學型,0.85,主要分享職場觀點和趨勢分析，偶爾穿插AI工具教學，但核心是觀點輸出。,觀點評論
askgirlfriend222,品牌行銷女友,110,64,9.578125,2.0,120,5.625,0.171875,1.4313099041533546,0,思想觀點型,專業服務型,0.85,主要分享行銷觀點和產業洞察，例如對「行銷設計」職務的看法、直銷話術的揭露、行銷冷知識等。同時，個人簡介提及品牌行銷經驗和諮詢服務，顯示有專業服務的意圖，但內容上觀點分享佔主導。,觀點評論
zhsun41,孫治華,2782,143,8.839160839160838,5.0,125,2.972027972027972,0.25874125874125875,20.02,22,知識教學型,專業服務型,0.85,貼文內容包含教學步驟（如何成為顧問），並提及課程與顧問服務，同時分享個人經驗與觀點。,觀點評論
mindora._.studio,Ariel | 設計師的一人公司實驗,79,13,8.692307692307692,2.0,90,0.38461538461538464,0.23076923076923078,1.9782608695652175,20,創業歷程型,知識教學型,0.9,創作者分享從低薪接案到一人公司的歷程，並提供設計變現的教學內容，貼文包含個人經驗和實用技巧。,教學型
heartsent_cosmos,心呈小天地倉庫,305,27,7.592592592592593,3.0,32,17.48148148148148,0.2222222222222222,3.857142857142857,14,電商導購型,創業歷程型,0.85,帳號簡介和貼文內容都顯示以銷售商品為主，同時記錄創業初期的心路歷程，因此主要為電商導購型，次要為創業歷程型。,其他
10a.m.studio,十研室霧眉專門店✨台中｜苑裡｜大甲,164,96,7.0,1.0,137,2.84375,0.041666666666666664,1.6153846153846154,11,專業服務型,創業歷程型,0.85,主要內容圍繞霧眉服務，分享作品、工作室資訊，並有預約導流意圖。同時也記錄了創業初期的個人經歷和感受。,其他
chengyin330,Li Cheng Yin,2052,162,6.962962962962963,1.0,202,1.4506172839506173,0.12345679012345678,2.7325301204819277,8,思想觀點型,專業服務型,0.85,主要內容為對社會議題的觀點評論，例如對台灣殖民歷史、種姓制度的看法。同時，也提供政府補助申請的專業服務，並有相關著作，因此也具備專業服務型的特徵。,觀點評論
wanjun0806,李婉君,206,41,6.926829268292683,3.0,139,3.5365853658536586,0.12195121951219512,4.1,20,電商導購型,,0.95,貼文內容主要圍繞商品（手工苜蓿芽捲）的銷售，包含價格、促銷、預購資訊，以及導流至實體店面的資訊。,其他
lynmiere.acc,Lynmiere •琳蜜ㄦ |飾品,263,80,6.475,4.0,31,3.425,0.0375,8.23529411764706,9,創業歷程型,電商導購型,0.85,貼文內容主要記錄創業歷程，包含每日更新、粉絲成長、尋求建議等。同時，帳號名稱和簡介顯示與飾品相關，可能兼具電商導購性質。,生活記錄
relax_aromatic_yen,悠香苑｜身心靈、宗教一人公司實現｜AI結合文化,2783,183,5.51912568306011,2.0,246,1.1256830601092895,0.03278688524590164,2.511764705882353,11,專業服務型,電商導購型,0.85,提供客製化香服務、沉香鑒定，並銷售相關商品，同時分享產業觀點，有獲客意圖。貼文中包含商品資訊和服務介紹，也提及產地證明等細節，具有電商導購的特徵。,教學型
richard870316,Ⓡ Ⓘ Ⓒ Ⓗ Ⓐ Ⓡ Ⓓ,114,22,5.5,1.5,40,3.272727272727273,0.0,0.25882352941176473,10,專業服務型,,0.95,創作者主要提供室內設計服務，透過貼文尋找潛在客戶與合作夥伴，並提供聯絡方式與服務資訊，符合專業服務型的特徵。,觀點評論
pig_likeme,𝗣𝗶𝗴𝗹𝗶𝗸𝗲𝗺𝗲生活雜貨|童趣小物,1143,135,5.42962962962963,3.0,58,0.7851851851851852,0.037037037037037035,1.5,17,電商導購型,創業歷程型,0.85,主要販售童趣小物，貼文包含商品照、價格資訊，並分享創業歷程。,生活記錄
ccstudio707,✨C.C Studio✨ 專業毛髮管理師·彰化熱蠟美肌·孕媽咪首選,766,137,5.37956204379562,3.0,96,5.299270072992701,0.2116788321167883,3.462093862815885,13,專業服務型,創業歷程型,0.85,主要提供毛髮管理服務，並透過內容獲客，同時分享個人創業故事。,其他
mandy_aispace,AI 導入｜數位工作流｜一人公司,438,71,5.042253521126761,1.0,67,1.380281690140845,0.28169014084507044,1.5292307692307692,12,知識教學型,專業服務型,0.85,該創作者提供AI培訓，並分享數位工作流相關知識，同時也提供企業導入評估合作等服務。,觀點評論
fortuna780731,Fortunaura 陳泳潔｜六壬仙師｜豐盛女神學院創辦人,616,133,4.714285714285714,2.0,61,1.3834586466165413,0.045112781954887216,5.32,22,混合型,專業服務型,0.75,創作者內容多元，包含靈性療癒、元辰宮等服務，也分享生活和觀點，但專業服務和個人品牌經營的色彩較濃厚。,其他
jsnewlife_rise,Joe Hou 侯宗易｜一人公司顧問｜Top Sales 變現研究所,143,106,4.7075471698113205,2.0,64,2.481132075471698,0.11320754716981132,11.96774193548387,21,知識教學型,專業服務型,0.85,簡介提及打造變現系統，貼文提供銷售秘訣檢核表，顯示其知識教學的意圖。同時，簡介提及一人公司顧問，貼文分享商業洞察，暗示提供專業服務。,觀點評論
oceanchou,💻 Hank｜不離職創業教練｜一人公司顧問,271,202,4.633663366336633,2.0,120,1.2722772277227723,0.034653465346534656,21.424242424242422,8,知識教學型,專業服務型,0.9,簡介提及WordPress架站教學、一人公司顧問，並提供諮詢預約，貼文內容包含知識分享，符合知識教學型和專業服務型的特徵。,觀點評論
ellie_chou,周本慧,207,79,4.506329113924051,3.0,86,0.26582278481012656,0.012658227848101266,1.0573613766730403,19,專業服務型,創業歷程型,0.85,創作者簡介強調保險價值、成長型思維及業務力，並提供Line諮詢，符合專業服務型特徵。部分貼文分享個人生活和工作，略帶創業歷程型色彩。,生活記錄
yolo.29.official,yolo.29.official,20,4,4.5,3.0,10,4.25,0.0,2.3333333333333335,22,創業歷程型,,0.95,創作者分享創業歷程，目標導向，記錄追蹤數成長，符合創業歷程型特徵。,成果展示
foryourbrand.tw,foryourbrand | 一人公司| 品牌行銷| 生活🎀,131,71,4.450704225352113,3.0,55,2.323943661971831,0.09859154929577464,2.472636815920398,12,創業歷程型,混合型,0.75,創作者簡介提及從體制出走、打造事業，貼文內容包含個人生活、與粉絲互動、以及AI工具分享，顯示創業歷程為主，但內容多元。,觀點評論
yncjaden,Jaden🔥丨解構品牌丨一人公司創業,18,4,4.0,3.0,9,5.5,0.0,2.8,21,思想觀點型,混合型,0.75,創作者名稱包含「解構品牌」，貼文內容多為對品牌、影視作品的解構和提問，偏向觀點分享。同時，也有互追漲粉的內容，略帶混合型特徵。,觀點評論
sshcckkee,Jaydore,123,12,4.0,1.5,20,2.8333333333333335,0.08333333333333333,4.2,14,電商導購型,,0.7,從個人簡介「花禮支持線上預訂」以及高互動貼文內容判斷，主要業務為花藝商品銷售，但目前貼文內容主要為徵社群小幫手，導購內容較少。,其他
2025_babybear,LY熊孩選,144,51,3.3529411764705883,0.0,150,2.0784313725490198,0.0196078431372549,10.2,21,電商導購型,創業歷程型,0.85,主要貼文包含商品照、價格、促銷等電商導購元素，同時穿插創業歷程的記錄，但電商導購特徵更為明顯。,其他
yii.2025,𝒀𝒊𝒊姨選物 ྀིྀི,452,149,3.2013422818791946,0.0,57,4.10738255033557,0.013422818791946308,38.629629629629626,2,創業歷程型,電商導購型,0.85,創作者分享創業歷程，記錄賣童裝的過程，同時也帶有電商導購的性質。,其他
mori_studio.25,Mori女裝 服飾,486,20,2.7,2.0,11,0.2,0.0,0.9333333333333333,21,電商導購型,,0.95,帳號名稱和顯示名稱包含「女裝服飾」，貼文內容多為商品上架、銷量、促銷等資訊，且包含商品照片，判斷為電商導購型。,其他
1onemancompany,一人公司創業丨自我營銷丨理財投資丨儲錢移民,610,6,2.1666666666666665,1.5,6,0.0,0.0,0.6363636363636364,15,創業歷程型,,0.9,創作者分享個人創業目標、收入支出、資產變化等，記錄個人財務狀況和理財決策，同時包含香港生活和經濟狀況的觀察。,經驗分享
jenniferintsmc,Jenniferintsmc | 減脂 增肌 健康日記,2808,42,2.119047619047619,1.0,23,0.47619047619047616,0.14285714285714285,0.46153846153846156,18,知識教學型,,0.95,該創作者主要分享減脂、增肌的知識和方法，提供飲食建議，符合知識教學型的特徵。貼文中包含明確的步驟化教學（例如：能吃的10種肉），並使用 #減肥歷程 #減肥日記 等標籤，顯示其內容以教學為主。,生活記錄
shihua1640,王士華,1538,183,1.5901639344262295,1.0,9,0.25136612021857924,0.0,13.923913043478262,6,創業歷程型,專業服務型,0.85,創作者分享個人健康轉變歷程，並結合按摩、艾草等服務，同時尋求客戶，具有創業歷程和專業服務的雙重特徵。,觀點評論
chuchu.shop2022,一人有餡公司,44,7,1.5714285714285714,1.0,4,0.5714285714285714,0.0,0.3740458015267175,15,電商導購型,創業歷程型,0.85,主要販售蜂蜜相關產品，並記錄擺攤經驗，兼具銷售導流和創業歷程分享的特徵。,經驗分享
lazy_nail_927,Lazy Store ♡,206,93,1.2688172043010753,0.0,52,1.8387096774193548,0.27956989247311825,7.076086956521739,22,電商導購型,創業歷程型,0.85,主要販售飾品穿戴甲，有商品照、價格促銷等資訊，導流下單。同時分享創業歷程，但比重較低。,其他
niu00_000,Niu💛護理師轉職數位行銷｜一人公司,23,26,1.1153846153846154,1.0,7,1.2307692307692308,0.11538461538461539,7.91304347826087,15,知識教學型,混合型,0.85,創作者分享Canva字體、AI工具應用等教學內容，並提供懶人包，符合知識教學型特徵。同時，內容也包含個人生活和創業相關，因此也帶有混合型特徵。,教學型
zoey0.626,zoey0.626,15,49,0.16326530612244897,0.0,3,0.24489795918367346,0.0,3.118181818181818,22,混合型,,0.8,從貼文內容和簡介判斷，主要內容為個人生活抱怨和記錄，缺乏其他類型的特徵。,生活記錄
mu_jen5888,苜見🌿永安店🌱手工苜蓿芽捲,48,3,0.0,0.0,0,0.0,0.0,0.9130434782608696,21,電商導購型,,0.95,主要販售苜蓿芽捲，貼文內容包含商品照片、價格（暗示，如「好吃」、「回購」）、促銷（起司餅皮限定），並提供聯絡方式導流銷售。,成果展示
pudding_213312,< 布丁’s  百寶袋賣場 >,44,2,0.0,0.0,0,17.0,0.0,2.0,19,電商導購型,創業歷程型,0.85,貼文包含商品價格、促銷資訊，且帳號名稱包含「賣場」字樣，符合電商導購型特徵。同時，第一篇貼文提及「創業日記」，略帶創業歷程型色彩。,其他
